	OBAMA	ROMNEY
Alabama	795696	1255925
Alaska	122640	164676
Arizona	1025232	1233654
Arkansas	394409	647744
California	7854285	4839958
Colorado	1323102	1185243
Connecticut	905109	634899
Delaware	242584	165484
D.C.	267070	21381
Florida	4237756	4163447
Georgia	1773827	2078688
Hawaii	306658	121015
Idaho	212787	420911
Illinois	3019512	2135216
Indiana	1154275	1422872
Iowa	822544	730617
Kansas	439908	689809
Kentucky	679370	1087190
Louisiana	809141	1152262
Maine	401306	292276
Maryland	1677844	971869
Massachusetts	1921761	1188460
Michigan	2564569	2115256
Minnesota	1546167	1320225
Mississippi	562949	710746
Missouri	1223796	1482440
Montana	201839	267928
Nebraska	302081	475064
Nevada	531373	463567
NewHampshire	369561	329918
NewJersey	2126610	1478749
NewMexico	415335	335788
NewYork	4485877	2490496
NorthCarolina	2178391	2270395
NorthDakota	124827	188163
Ohio	2827709	2661437
Oklahoma	443547	891325
Oregon	970488	754175
Pennsylvania	2990274	2680434
RhodeIsland	279677	157204
SouthCarolina	865941	1071645
SouthDakota	145039	210610
Tennessee	960709	1462330
Texas	3308124	4569843
Utah	251813	740600
Vermont	199239	92698
Virginia	1971820	1822522
Washington	1755396	1290670
WestVirginia	238269	417655
Wisconsin	1620985	1407966
Wyoming	69286	170962
